NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Livingston Parish, Louisiana",138111,67836,70275,125734,8323,333,637,17,846,2221,24,2197,138111,133163,4948,0.4258,0.0158,28995,30057,30360,18992,18810,38729,27952,,10389,12965,22,063
"Natchitoches Parish, Louisiana",38963,18622,20341,20896,15775,415,268,0,885,724,53,671,38963,38087,876,0.5486,0.0218,18570,23405,23624,14744,12902,19042,13787,-666666666,11891,12196,22,069
"Orleans Parish, Louisiana",389648,185377,204271,132423,232789,632,11294,98,5297,7115,741,6374,389648,368245,21403,0.5706,0.0057,30177,52053,54249,27213,18032,27346,32990,17971,20469,23598,22,071
"Catahoula Parish, Louisiana",9893,5214,4679,6564,3210,19,10,0,68,22,8,14,9893,9730,163,0.4745,0.0242,21962,27237,27296,6252,11669,,,-666666666,,,22,025
"Calcasieu Parish, Louisiana",200182,97603,102579,140575,49884,687,2741,6,1747,4542,282,4260,200182,193419,6763,0.4663,0.0106,27368,31212,31497,20161,18424,27762,25836,,13775,12760,22,019
"Franklin Parish, Louisiana",20322,9981,10341,13322,6713,10,18,5,9,245,46,199,20322,20216,106,0.4891,0.0229,19785,24659,24812,1082,10700,,,,,3984,22,041
"Assumption Parish, Louisiana",22714,11005,11709,15439,6807,83,39,0,92,254,56,198,22714,22055,659,0.5025,0.0340,26238,31128,31540,18899,15048,12971,,-666666666,16805,36285,22,007
"Jackson Parish, Louisiana",15926,8080,7846,10901,4771,12,87,0,106,49,8,41,15926,15669,257,0.4806,0.0204,20942,24345,24608,12722,13244,13117,6460,-666666666,,,22,049
"Richland Parish, Louisiana",20474,9952,10522,12652,7286,0,153,0,110,273,49,224,20474,20035,439,0.4893,0.0194,20128,23730,23955,22411,13064,-666666666,34481,-666666666,14385,35988,22,083
"St. Martin Parish, Louisiana",53752,26452,27300,35555,15737,287,534,0,573,1066,33,1033,53752,52173,1579,0.4643,0.0215,24732,29258,29690,17064,16154,16260,8825,-666666666,23258,11459,22,099
"Winn Parish, Louisiana",14494,7733,6761,9618,4583,26,0,0,95,172,0,172,14494,14202,292,0.4845,0.0258,20162,25502,25622,16795,8946,4765,-666666666,-666666666,13185,26637,22,127
"East Baton Rouge Parish, Louisiana",444094,212778,231316,210236,204036,857,13946,117,6564,8338,263,8075,444094,426182,17912,0.5020,0.0085,31073,42467,43020,25553,20385,31174,29938,13580,16085,19273,22,033
"Allen Parish, Louisiana",25661,14638,11023,18903,4878,540,167,0,420,753,113,640,25661,24158,1503,0.4686,0.0285,20203,24036,24703,3949,10106,12005,12093,-666666666,2400,6998,22,003
"Madison Parish, Louisiana",11472,5708,5764,4074,7301,8,0,0,57,32,0,32,11472,11235,237,0.5051,0.0210,15795,23930,24443,14787,11135,,-666666666,-666666666,23146,,22,065
"Oxford County, Maine",57325,28316,29009,55192,256,172,273,4,96,1332,17,1315,57325,56575,750,0.4152,0.0095,23770,24159,24171,20916,12136,21566,14855,,15072,12333,23,017
"Waldo County, Maine",39418,19347,20071,38039,231,182,195,0,88,683,10,673,39418,38890,528,0.4431,0.0200,28860,29174,29231,32320,12452,18272,12625,-666666666,90986,16411,23,027
"Penobscot County, Maine",151748,75196,76552,143791,1370,1731,1581,63,341,2871,136,2735,151748,149742,2006,0.4540,0.0108,27289,27637,27528,28844,16673,16522,45136,18457,13465,13412,23,019
"Androscoggin County, Maine",107444,52514,54930,98333,2260,249,812,4,224,5562,301,5261,107444,105464,1980,0.4252,0.0125,27231,28620,28715,15985,9442,10844,16561,,21105,12423,23,001
"Aroostook County, Maine",68269,33745,34524,64865,665,1249,293,10,124,1063,66,997,68269,67468,801,0.4598,0.0102,24571,24843,24854,23530,28883,11400,43112,11970,36241,14364,23,003
"Cumberland County, Maine",290944,141276,149668,267511,8481,547,6145,16,1033,7211,350,6861,290944,284985,5959,0.4543,0.0081,38644,40210,40437,23421,13283,33196,28773,,26000,21026,23,005
"Knox County, Maine",39823,19701,20122,38386,232,136,215,0,16,838,41,797,39823,39231,592,0.4340,0.0211,31612,31995,32172,16837,31445,50890,21959,-666666666,8963,13871,23,013
"York County, Maine",203102,99029,104073,194369,1823,845,2606,31,341,3087,39,3048,203102,199724,3378,0.4328,0.0086,35052,35647,35850,22700,23162,22052,25872,28265,27232,16825,23,031
"Franklin County, Maine",30019,14651,15368,28993,84,119,114,31,62,616,63,553,30019,29633,386,0.4309,0.0146,26030,26545,26554,22358,20146,25429,9259,,30402,4945,23,007
"Somerset County, Maine",50710,25085,25625,49017,300,224,155,0,26,988,32,956,50710,50180,530,0.4440,0.0145,23557,23722,23776,17811,17615,8503,30785,-666666666,12465,19735,23,025
"Worcester County, Maryland",51564,25283,26281,42778,6754,109,685,54,142,1042,19,1023,51564,49799,1765,0.4559,0.0180,35666,37900,38446,24374,20381,30229,55474,38576,37973,30109,24,047
"Baltimore city, Maryland",614700,288691,326009,187152,383918,1585,15898,215,10607,15325,1424,13901,614700,583197,31503,0.5130,0.0047,29700,47244,49682,21423,21351,24120,39229,25470,19264,22589,24,510
"Talbot County, Maryland",37211,17626,19585,30828,4110,53,514,20,367,1319,127,1192,37211,34799,2412,0.5266,0.0241,47302,52260,54434,18869,24817,38887,35210,,19260,14654,24,041
"Harford County, Maryland",251025,122763,128262,198188,34080,447,6750,30,3620,7910,710,7200,251025,239956,11069,0.4150,0.0068,39365,41855,42258,27155,30896,40837,40125,,25701,19081,24,025
"Howard County, Maryland",315327,154285,161042,182836,58856,715,55913,58,3913,13036,1215,11821,315327,294127,21200,0.4038,0.0065,52586,59637,62103,33053,41208,30911,49513,74778,28378,26602,24,027
"Anne Arundel County, Maryland",567696,281176,286520,416185,93526,997,21314,369,13315,21990,1652,20338,567696,525056,42640,0.4112,0.0059,44979,49769,51006,26341,34203,39657,39055,20041,21028,21038,24,003
"Baltimore County, Maryland",827625,392421,435204,508001,234809,2262,49327,749,9565,22912,2370,20542,827625,784141,43484,0.4500,0.0049,38580,44086,45183,22213,30996,26368,32198,18945,18208,18320,24,005
"Calvert County, Maryland",91082,45307,45775,73931,10730,122,1723,38,598,3940,151,3789,91082,87655,3427,0.3757,0.0115,43504,45775,45972,34027,35491,20820,38093,,29174,28068,24,009
"Garrett County, Maryland",29376,14561,14815,28445,228,50,114,8,38,493,43,450,29376,29045,331,0.4380,0.0168,27980,28568,28596,10060,4207,25830,19732,,,9023,24,023
"Montgomery County, Maryland",1040133,502389,537744,559927,189800,3068,152812,502,89343,44681,8865,35816,1040133,839826,200307,0.4624,0.0031,52828,66857,74340,26014,35060,33887,49936,38537,19647,30205,24,031
"Carroll County, Maryland",167522,82841,84681,153788,5631,362,2998,85,1344,3314,285,3029,167522,161890,5632,0.3992,0.0098,40667,41671,42100,24714,29775,41858,38608,29773,23195,21647,24,013
"Queen Anne's County, Maryland",49355,24426,24929,44131,3346,43,462,55,514,804,41,763,49355,47484,1871,0.4102,0.0150,42077,43542,44257,23507,33274,20207,22706,86900,16687,23784,24,035
"St. Mary's County, Maryland",111531,55552,55979,87631,16081,146,3071,13,804,3785,69,3716,111531,106010,5521,0.4007,0.0115,39254,42088,42592,30529,27194,117536,45863,,24533,19757,24,037
"Charles County, Maryland",157671,76071,81600,71681,70047,849,4899,64,1150,8981,486,8495,157671,148914,8757,0.3813,0.0080,39696,44336,44782,34197,36833,50627,40930,44472,35971,23724,24,017
"Dorchester County, Maryland",32261,15335,16926,21159,8845,31,335,0,595,1296,72,1224,32261,30546,1715,0.4789,0.0212,30135,35077,35339,22486,21663,23106,20558,-666666666,21372,13926,24,019
"Washington County, Maryland",149811,76098,73713,123859,15803,358,2697,132,1441,5521,382,5139,149811,142656,7155,0.4462,0.0108,29802,32415,32861,18691,16300,44006,30311,32327,18041,11671,24,043
"Wicomico County, Maryland",102172,48535,53637,68527,26494,173,3264,37,1063,2614,185,2429,102172,96974,5198,0.4368,0.0122,27622,30968,31824,17831,20014,19088,32244,,18695,14865,24,045
"Cecil County, Maryland",102517,51149,51368,90454,6869,165,1480,32,976,2541,82,2459,102517,98131,4386,0.4066,0.0108,32976,34423,34932,19873,24028,16577,22779,33450,25148,15644,24,015
"Caroline County, Maryland",32875,16021,16854,26432,4600,132,218,10,708,775,23,752,32875,30571,2304,0.4331,0.0175,27866,29933,30973,11503,20425,18082,30817,,12494,16455,24,011
"Suffolk County, Massachusetts",791766,382830,408936,437431,177748,2357,69435,257,54071,50467,5607,44860,791766,612064,179702,0.5365,0.0051,40190,52625,58942,21105,24422,20347,32781,7602,19060,21874,25,025
"Barnstable County, Massachusetts",213690,102176,111514,196442,6341,1137,3228,166,2116,4260,799,3461,213690,207462,6228,0.4589,0.0094,42578,44154,44591,24365,22860,30652,32971,22506,27586,17961,25,001
"Dukes County, Massachusetts",17313,8475,8838,15319,680,127,64,0,318,805,41,764,17313,16707,606,0.5020,0.0306,43822,47205,47939,18260,26725,10365,3248,-666666666,23371,10467,25,007
"Middlesex County, Massachusetts",1595192,779666,815526,1233271,84021,2958,186123,603,42335,45881,6062,39819,1595192,1469659,125533,0.4680,0.0032,49669,53463,55163,25170,28530,27740,46894,56208,21689,24786,25,017
"Berkshire County, Massachusetts",127328,61603,65725,115566,3741,425,2177,56,2267,3096,255,2841,127328,121489,5839,0.4645,0.0094,34287,35928,36233,19488,15968,14304,27763,22952,18556,14221,25,003
"Essex County, Massachusetts",781024,376475,404549,625582,31317,1884,26897,115,72694,22535,3559,18976,781024,622050,158974,0.4840,0.0043,40697,44807,47967,18595,27361,17694,43540,14434,17563,18438,25,009
"Bristol County, Massachusetts",558905,270624,288281,472579,22640,426,12603,203,33851,16603,4491,12112,558905,515863,43042,0.4563,0.0048,34226,36484,37018,15880,24957,20429,35190,19619,17333,16825,25,005
"Hampden County, Massachusetts",469116,226555,242561,380944,41166,1280,11052,87,21501,13086,2413,10673,469116,353637,115479,0.4704,0.0062,29020,31413,36162,14260,20884,15516,24938,19428,14070,14337,25,013
"Plymouth County, Massachusetts",512135,249126,263009,427155,48168,680,6541,227,17359,12005,2828,9177,512135,492659,19476,0.4494,0.0050,41343,44754,45202,22929,23974,31062,38988,48883,21156,20607,25,023
"Franklin County, Massachusetts",70935,34601,36334,66044,1074,219,1165,65,768,1600,212,1388,70935,68169,2766,0.4533,0.0159,34202,35383,35748,18072,13592,26494,23784,,15892,17484,25,011
"Norfolk County, Massachusetts",698249,335338,362911,547590,47581,880,75060,248,10544,16346,2188,14158,698249,667886,30363,0.4774,0.0046,52036,55869,56256,39933,33503,45069,44537,32353,33186,24845,25,021
"Hampshire County, Massachusetts",161159,75426,85733,141795,4488,272,8428,63,1450,4663,568,4095,161159,152277,8882,0.4621,0.0105,33605,35339,36033,19245,18585,15590,25004,17644,19023,16686,25,015
"Nantucket County, Massachusetts",11101,5650,5451,9722,776,35,107,7,62,392,139,253,11101,10596,505,0.4775,0.0353,51270,55062,55812,26393,21257,,22783,,18327,32102,25,019
"Monroe County, Michigan",149699,73914,75785,141260,3553,449,930,10,762,2735,94,2641,149699,144438,5261,0.4128,0.0068,30295,30914,31258,20262,19615,23321,32123,,17121,16409,26,115
"Allegan County, Michigan",115250,57586,57664,107953,1701,558,781,23,1833,2401,400,2001,115250,106858,8392,0.4053,0.0098,28073,28649,29287,16840,15071,25453,38609,,16266,17862,26,005
"Hillsdale County, Michigan",45830,22798,23032,44312,349,179,173,0,160,657,27,630,45830,44796,1034,0.4344,0.0136,24749,25201,25430,13327,6724,15696,14812,-666666666,15304,11250,26,059
"Alger County, Michigan",9194,5104,4090,7807,692,320,14,0,13,348,25,323,9194,9057,137,0.4146,0.0229,21773,23614,23733,13810,1709,26170,,-666666666,,16303,26,003
"Oceana County, Michigan",26417,13412,13005,24991,287,288,64,1,383,403,82,321,26417,22504,3913,0.4224,0.0186,23018,23467,25145,13087,9457,18828,29509,,15817,13437,26,127
"Leelanau County, Michigan",21639,10742,10897,20075,93,649,146,3,152,521,20,501,21639,20701,938,0.4642,0.0211,38074,39580,40310,14514,14731,20553,21750,,15305,17498,26,089
"Clare County, Michigan",30616,15159,15457,29477,186,163,111,0,83,596,61,535,30616,30024,592,0.4513,0.0202,21717,21996,22145,10784,9596,32332,17795,-666666666,17283,10143,26,035
"Keweenaw County, Michigan",2130,1111,1019,2076,33,0,2,0,0,19,0,19,2130,2118,12,0.4421,0.0431,31830,32146,32178,12925,18861,-666666666,,-666666666,-666666666,22226,26,083
"Isabella County, Michigan",70775,34371,36404,62114,1868,2395,1191,8,513,2686,126,2560,70775,68022,2753,0.4803,0.0099,23164,23408,23655,13990,15500,26748,23899,,51578,13805,26,073
"Ottawa County, Michigan",284034,140285,143749,253873,4237,868,7574,57,9741,7684,1485,6199,284034,256584,27450,0.4144,0.0074,30558,31957,32781,17639,16503,22108,28375,,17378,12102,26,139
"Tuscola County, Michigan",53250,26732,26518,51297,629,166,181,4,110,863,104,759,53250,51471,1779,0.4181,0.0113,24968,25394,25676,15618,9348,16723,39299,,24780,9623,26,157
"Alpena County, Michigan",28612,14095,14517,27720,149,152,141,20,31,399,35,364,28612,28230,382,0.4391,0.0155,25115,25448,25555,14137,8582,13032,36194,7305,18710,10189,26,007
"Ionia County, Michigan",64176,34053,30123,59051,2940,204,257,6,344,1374,230,1144,64176,61144,3032,0.3950,0.0108,23956,25091,25409,16736,7199,12090,32586,,15814,13267,26,067
"Midland County, Michigan",83389,40980,42409,77905,1168,380,1907,63,391,1575,297,1278,83389,81177,2212,0.4743,0.0141,34497,35006,35081,26630,18733,20581,44255,29089,21416,16006,26,111
"Berrien County, Michigan",154807,75737,79070,121688,22829,619,3095,38,1809,4729,474,4255,154807,146467,8340,0.4807,0.0074,29311,32701,33584,15057,14446,24909,36629,7187,17101,14475,26,021
