NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Comer�o Municipio, Puerto Rico",19539,9692,9847,16018,1819,76,23,0,1439,164,68,96,19539,112,19427,0.5215,0.0226,6903,6873,12952,6878,5649,5607,,-666666666,9080,6210,72,045
"Isabela Municipio, Puerto Rico",42420,20629,21791,28867,2270,37,0,0,10909,337,80,257,42420,595,41825,0.4976,0.0196,9228,9509,13427,9198,11357,,-666666666,-666666666,8022,10467,72,071
"Lares Municipio, Puerto Rico",26451,13026,13425,18825,118,12,0,0,7308,188,0,188,26451,114,26337,0.5523,0.0389,8735,8869,9894,8710,14450,,-666666666,-666666666,8342,7543,72,081
"Las Piedras Municipio, Puerto Rico",37768,18163,19605,13198,23475,0,0,0,635,460,89,371,37768,105,37663,0.5082,0.0263,11239,11773,,11230,11112,-666666666,-666666666,-666666666,8168,6640,72,085
"San Juan Municipio, Puerto Rico",344606,157742,186864,237250,43991,1336,1311,70,46619,14029,2832,11197,344606,6412,338194,0.6179,0.0090,18569,20861,30766,18410,13649,16462,18642,15567,12674,15022,72,127
"Vega Alta Municipio, Puerto Rico",37724,18044,19680,28138,4071,24,90,0,4094,1307,258,1049,37724,592,37132,0.5572,0.0329,11678,12217,14681,11656,9294,,3336,-666666666,10211,12548,72,143
"Maricao Municipio, Puerto Rico",6202,3069,3133,2503,149,18,0,0,3428,104,104,0,6202,10,6192,0.4770,0.0437,5974,6877,,5984,4936,,-666666666,-666666666,5376,5375,72,093
"Aibonito Municipio, Puerto Rico",23457,11263,12194,17922,2793,18,21,0,2523,180,66,114,23457,94,23363,0.4789,0.0395,10630,11093,42445,10584,8734,,,-666666666,9536,11260,72,009
"Juncos Municipio, Puerto Rico",39128,18630,20498,18501,4738,38,83,0,13919,1849,16,1833,39128,276,38852,0.4773,0.0198,9316,9575,3803,9357,10130,,,-666666666,8831,8761,72,077
"Sabana Grande Municipio, Puerto Rico",23054,10877,12177,16113,560,44,0,0,5900,437,162,275,23054,40,23014,0.4993,0.0271,9560,9416,,9560,10343,,-666666666,-666666666,10036,7924,72,121
"Hormigueros Municipio, Puerto Rico",16180,7461,8719,4890,390,0,0,0,10620,280,143,137,16180,32,16148,0.4952,0.0420,11874,11994,,11883,25508,-666666666,-666666666,-666666666,11297,12668,72,067
"Adjuntas Municipio, Puerto Rico",18181,8862,9319,13712,145,25,3,0,4182,114,11,103,18181,58,18123,0.5259,0.0256,7126,6789,13902,7109,8164,,,-666666666,8198,8135,72,001
"Camuy Municipio, Puerto Rico",32222,15424,16798,26206,545,9,0,0,5203,259,132,127,32222,220,32002,0.5404,0.0366,10252,10816,6341,10261,11565,,-666666666,-666666666,7311,9371,72,027
"Gu�nica Municipio, Puerto Rico",16783,8091,8692,10484,699,30,0,0,5371,199,127,72,16783,165,16618,0.5130,0.0409,7430,7832,,7370,15079,10687,-666666666,-666666666,5166,19967,72,055
"Manat� Municipio, Puerto Rico",39692,18720,20972,33602,1681,68,92,0,4032,217,96,121,39692,612,39080,0.5183,0.0216,10946,11067,6919,10979,12563,6985,8030,-666666666,8990,18569,72,091
"Naguabo Municipio, Puerto Rico",26266,12332,13934,17314,1036,0,86,0,7317,513,0,513,26266,166,26100,0.4467,0.0254,9263,9064,19849,9159,10387,-666666666,,-666666666,9491,11026,72,103
"Naranjito Municipio, Puerto Rico",28557,14039,14518,24091,1827,0,0,0,1016,1623,17,1606,28557,38,28519,0.4776,0.0265,9150,9317,,9160,7878,-666666666,-666666666,-666666666,8030,8802,72,105
"San Germ�n Municipio, Puerto Rico",32114,15606,16508,18746,691,37,0,0,12456,184,156,28,32114,211,31903,0.5435,0.0282,9874,10446,14929,9838,10813,28051,-666666666,-666666666,8779,18563,72,125
"Utuado Municipio, Puerto Rico",29402,14279,15123,18189,398,17,112,0,10077,609,354,255,29402,187,29215,0.5071,0.0223,8639,8416,8441,8620,10930,,4945,-666666666,8917,10111,72,141
"Arecibo Municipio, Puerto Rico",87242,41785,45457,71713,3662,255,709,0,9892,1011,495,516,87242,550,86692,0.5108,0.0151,10203,10229,8332,10215,12162,18189,6930,-666666666,8960,13739,72,013
"Arroyo Municipio, Puerto Rico",18111,8514,9597,10946,3429,0,0,0,3513,223,44,179,18111,38,18073,0.4428,0.0290,7979,7409,,7990,10490,-666666666,-666666666,-666666666,7417,6156,72,015
"Cata�o Municipio, Puerto Rico",24888,11764,13124,16314,2557,7,113,0,4198,1699,156,1543,24888,253,24635,0.5634,0.0174,12195,12882,13673,12191,12759,,20882,-666666666,10383,8687,72,033
"Florida Municipio, Puerto Rico",11910,5693,6217,10459,206,0,0,0,1195,50,0,50,11910,140,11770,0.4521,0.0390,8871,9092,,8899,7701,-666666666,-666666666,-666666666,7139,,72,054
"Monroe County, Alabama",21512,10230,11282,11814,8927,346,120,0,24,281,0,281,21512,21210,302,0.5477,0.0284,18890,23778,23928,6069,11639,24193,74431,-666666666,,13829,01,099
"Lawrence County, Alabama",33171,16003,17168,25942,3627,1878,44,24,5,1651,167,1484,33171,32464,707,0.4389,0.0259,23557,23570,23844,9627,18253,31297,81202,,,24500,01,079
"Lee County, Alabama",159287,78372,80915,111986,36675,226,6577,18,861,2944,246,2698,159287,153422,5865,0.5081,0.0121,26960,30267,30572,21730,18384,23051,26090,,17168,13263,01,081
"Pickens County, Alabama",20298,9708,10590,11362,8367,25,13,8,262,261,22,239,20298,19366,932,0.4997,0.0309,22417,29580,30488,12139,13470,,,,8031,13234,01,107
"Sumter County, Alabama",12985,6014,6971,3201,9346,8,338,0,59,33,4,29,12985,12972,13,0.5469,0.0437,15882,28264,28264,19162,11895,23325,3353,-666666666,,9367,01,119
"Choctaw County, Alabama",13075,6253,6822,7420,5590,9,13,0,8,35,0,35,13075,13002,73,0.4809,0.0225,22182,26395,26466,12241,16649,,,-666666666,,10160,01,023
"Marengo County, Alabama",19538,9446,10092,8855,10518,51,0,0,58,56,0,56,19538,19423,115,0.5386,0.0494,23056,27766,27876,9783,19047,25890,-666666666,-666666666,24116,27436,01,091
"Russell County, Alabama",58213,28124,30089,29256,24957,165,518,72,840,2405,212,2193,58213,55093,3120,0.4540,0.0154,22055,24353,24334,19458,20471,16608,20775,,6822,16746,01,113
"Covington County, Alabama",37351,18172,19179,31624,4826,58,159,13,70,601,0,601,37351,36747,604,0.4553,0.0161,23071,24743,24862,16743,13191,27316,9210,,25380,17901,01,039
"Crenshaw County, Alabama",13865,6814,7051,9938,3198,109,188,0,146,286,6,280,13865,13590,275,0.5040,0.0451,23353,25048,24947,19273,19599,9394,38573,-666666666,15272,5862,01,041
"Lauderdale County, Alabama",92585,44315,48270,80561,9364,417,612,61,179,1391,76,1315,92585,90173,2412,0.4672,0.0144,27189,28256,28612,22035,19916,23875,26344,6431,36899,15437,01,077
"Lowndes County, Alabama",10236,4830,5406,2546,7601,13,0,0,0,76,0,76,10236,10166,70,0.4999,0.0221,19491,32888,33053,13366,15025,,-666666666,-666666666,-666666666,9883,01,085
"Limestone County, Alabama",93052,46427,46625,75143,12468,853,1174,24,1662,1728,45,1683,93052,87573,5479,0.4509,0.0145,27699,29228,29961,14025,22343,31915,27368,,12953,12594,01,083
"St. Clair County, Alabama",87306,43755,43551,76224,8252,315,737,8,689,1081,182,899,87306,85217,2089,0.4068,0.0134,24861,25673,25771,15949,18506,31253,23704,,12225,22869,01,115
"Winston County, Alabama",23875,11840,12035,23001,90,93,31,9,161,490,4,486,23875,23141,734,0.4517,0.0266,21799,22253,22487,13371,7080,9514,11326,,14311,8416,01,133
"Cullman County, Alabama",82313,40560,41753,78392,998,348,334,3,793,1445,171,1274,82313,78770,3543,0.4548,0.0146,22980,23499,23902,10523,17371,19191,21633,,9496,7413,01,043
"Elmore County, Alabama",81212,39450,41762,60824,17402,209,392,0,774,1611,70,1541,81212,78865,2347,0.4359,0.0152,27475,30542,30756,22656,17221,24938,41467,-666666666,28915,18638,01,051
"Jackson County, Alabama",52094,25536,26558,47412,1799,615,215,77,552,1424,31,1393,52094,50589,1505,0.4616,0.0159,21608,22113,22233,12435,17505,18338,8163,38942,4663,19055,01,071
"Talladega County, Alabama",80565,39156,41409,51720,26010,345,470,28,678,1314,49,1265,80565,78747,1818,0.4584,0.0173,22498,25306,25487,15978,16879,13985,70836,,8605,15309,01,121
"Washington County, Alabama",16643,8420,8223,11003,4086,1227,62,0,5,260,0,260,16643,16461,182,0.4684,0.0450,22776,23201,23420,9545,23643,19526,3071,-666666666,,10818,01,129
"Coffee County, Alabama",51288,25314,25974,38923,8829,617,666,0,644,1609,10,1599,51288,47739,3549,0.4427,0.0157,27577,30454,31057,20701,20106,18133,15040,-666666666,12310,13902,01,031
"Morgan County, Alabama",119122,58660,60462,95966,15228,740,775,48,4054,2311,97,2214,119122,109431,9691,0.4511,0.0116,25907,28048,29019,11667,17570,37605,22415,,10359,17171,01,103
"Chilton County, Alabama",43930,21672,22258,36599,4148,123,190,0,1858,1012,97,915,43930,40514,3416,0.4845,0.0337,24611,26458,26671,15643,19131,17733,15114,-666666666,13034,4134,01,021
"Colbert County, Alabama",54495,26075,28420,43288,8615,367,267,29,723,1206,150,1056,54495,53146,1349,0.4496,0.0183,24918,26537,26709,15653,19746,18668,29335,9197,18402,8968,01,033
"Dale County, Alabama",49255,24234,25021,35889,9749,377,633,4,947,1656,50,1606,49255,46185,3070,0.4500,0.0151,23837,26313,26676,17006,17506,24532,17560,,9198,18130,01,045
"Etowah County, Alabama",102939,49651,53288,82710,16212,751,739,66,751,1710,76,1634,102939,99059,3880,0.4483,0.0128,24065,25867,26308,9864,16695,12854,41302,,11139,10331,01,055
"DeKalb County, Alabama",71200,35304,35896,60972,1004,934,140,621,5899,1630,147,1483,71200,60980,10220,0.4748,0.0169,21004,22438,23326,8466,18053,18222,42412,5795,7772,22643,01,049
"Lamar County, Alabama",13933,6800,7133,12187,1558,0,0,0,119,69,0,69,13933,13715,218,0.4623,0.0423,21666,22510,22774,8310,17047,-666666666,-666666666,-666666666,3610,7932,01,075
"Randolph County, Alabama",22574,10989,11585,17443,4547,51,68,51,84,330,7,323,22574,21909,665,0.4733,0.0351,23247,25645,26000,10083,16318,18647,,,4121,1823,01,111
"Mobile County, Alabama",414659,197928,216731,243658,147434,2915,8117,62,5004,7469,488,6981,414659,402686,11973,0.4765,0.0078,25215,30338,30487,21445,17567,27420,24336,48726,16892,14528,01,097
"Walker County, Alabama",64493,31506,32987,58547,4007,109,319,0,338,1173,0,1173,64493,62948,1545,0.4587,0.0158,22772,23586,23813,10841,15045,26565,26301,-666666666,13889,9807,01,127
"Cleburne County, Alabama",14938,7281,7657,14068,393,39,3,0,126,309,18,291,14938,14576,362,0.4622,0.0277,21989,22418,22211,24377,20407,,,-666666666,5952,11226,01,029
"Greene County, Alabama",8426,3950,4476,1445,6713,48,0,0,0,220,22,198,8426,8283,143,0.5041,0.0356,14209,28845,28845,,11440,,-666666666,-666666666,-666666666,,01,063
"Barbour County, Alabama",25782,13697,12085,12216,12266,72,96,1,778,353,22,331,25782,24676,1106,0.4731,0.0156,18461,25132,25473,10382,12687,9764,19880,,9185,10129,01,005
"Bullock County, Alabama",10352,5663,4689,2276,7893,122,56,0,5,0,0,0,10352,10301,51,0.5174,0.0479,20346,36395,36944,10267,15911,,,-666666666,,-666666666,01,011
"Calhoun County, Alabama",115098,55315,59783,85558,23676,353,1065,9,1701,2736,202,2534,115098,110895,4203,0.4676,0.0160,24706,26873,27196,13756,18450,13316,44955,,14028,11375,01,015
"Clarke County, Alabama",24387,11539,12848,12935,11173,25,123,0,0,131,8,123,24387,24339,48,0.5185,0.0217,21111,26748,26786,20760,13896,56760,84811,-666666666,-666666666,13294,01,025
"Montgomery County, Alabama",226941,107354,119587,82862,130866,414,6104,56,2522,4117,532,3585,226941,219192,7749,0.4929,0.0089,28008,40594,41852,21174,20168,23693,33067,28070,29759,15770,01,101
"Marshall County, Alabama",95145,46977,48168,87887,2456,389,570,46,2096,1701,211,1490,95145,82184,12961,0.4805,0.0162,23833,24352,26439,9617,13867,28499,34290,86800,13064,18396,01,095
"Henry County, Alabama",17124,8232,8892,12179,4749,4,0,0,37,155,15,140,17124,16676,448,0.4350,0.0185,24069,27412,27684,17635,15977,,-666666666,-666666666,21403,9981,01,067
"Madison County, Alabama",357560,174665,182895,243835,86012,1975,9073,324,4500,11841,779,11062,357560,340266,17294,0.4673,0.0071,35526,40226,41065,20865,24049,39722,41887,25144,14262,24888,01,089
"Tallapoosa County, Alabama",40636,19517,21119,28251,11145,130,155,0,555,400,15,385,40636,39682,954,0.4617,0.0163,23655,28050,28053,18560,13877,29541,14991,-666666666,6576,10824,01,123
"Aleutians West Census Area, Alaska",5750,3432,2318,1699,246,651,2300,148,314,392,107,285,5750,4952,798,0.3628,0.0112,37070,53508,60069,27554,47209,31394,29855,27258,37627,14473,02,016
"Wilcox County, Alabama",10809,5134,5675,2903,7511,22,0,0,57,316,0,316,10809,10739,70,0.5108,0.0287,16584,27160,27179,,13177,7364,-666666666,-666666666,,4056,01,131
"Denali Borough, Alaska",2232,1117,1115,1810,18,44,101,0,5,254,0,254,2232,2223,9,0.3631,0.0441,34956,37893,37893,,10961,28484,4697,-666666666,,28318,02,068
"Kenai Peninsula Borough, Alaska",58220,30314,27906,48489,370,4493,886,194,518,3270,163,3107,58220,55845,2375,0.4322,0.0142,33820,36323,36823,20169,15773,20069,30484,15578,31299,20021,02,122
"Bristol Bay Borough, Alaska",890,526,364,501,4,291,3,2,8,81,0,81,890,858,32,0.3911,0.0323,45259,57564,58240,33441,20575,30111,,,18725,25522,02,060
"Kodiak Island Borough, Alaska",13649,7281,6368,7284,36,1862,3144,90,193,1040,408,632,13649,12430,1219,0.3869,0.0386,32516,41681,42703,23161,30506,20388,24394,23676,27995,16270,02,150
"Northwest Arctic Borough, Alaska",7734,4156,3578,859,87,6382,76,0,41,289,1,288,7734,7645,89,0.4375,0.0188,23230,64820,64896,47774,36343,16499,49080,-666666666,63161,31840,02,188
"Bethel Census Area, Alaska",18040,9381,8659,1986,119,14927,187,3,124,694,15,679,18040,17611,429,0.4446,0.0146,19760,57069,61739,16401,48135,14023,34796,,23827,26648,02,050
"North Slope Borough, Alaska",9797,6116,3681,3099,84,5093,548,175,98,700,10,690,9797,9590,207,0.4156,0.0260,49903,95414,95923,72742,83104,24102,44715,35905,100193,32678,02,185
"Sitka City and Borough, Alaska",8738,4471,4267,5655,103,1118,632,8,45,1177,69,1108,8738,8172,566,0.4222,0.0272,38423,44257,45030,24819,32012,26838,31555,,23982,25833,02,220
"Fairbanks North Star Borough, Alaska",99653,53846,45807,75281,4493,7233,3068,561,1227,7790,161,7629,99653,91702,7951,0.4061,0.0128,36374,39955,41084,22837,32880,21427,37324,24479,26537,19693,02,090
"Ketchikan Gateway Borough, Alaska",13804,7060,6744,9219,103,2013,1062,5,143,1259,44,1215,13804,13103,701,0.4161,0.0166,34900,40894,41526,25974,28488,23441,24745,,30411,18974,02,130
"Matanuska-Susitna Borough, Alaska",103464,53912,49552,85927,1121,5888,1437,226,484,8381,347,8034,103464,98520,4944,0.4171,0.0080,30943,33265,33790,21283,27124,20730,19478,15490,22704,17678,02,170
"Nome Census Area, Alaska",9925,5240,4685,1601,89,7396,160,43,23,613,7,606,9925,9672,253,0.4294,0.0187,22293,52758,55159,20624,33842,15207,23933,18679,20209,26449,02,180
"Dillingham Census Area, Alaska",4975,2573,2402,875,67,3587,76,3,34,333,0,333,4975,4802,173,0.4285,0.0226,25334,51931,55488,24587,27099,18139,35137,,65688,26201,02,070
"Haines Borough, Alaska",2518,1335,1183,2040,1,217,74,4,11,171,0,171,2518,2421,97,0.3796,0.0388,33521,34939,35142,35178,,26346,19291,,,28829,02,100
"Yakutat City and Borough, Alaska",689,369,320,309,2,195,57,16,5,105,0,105,689,639,50,0.3498,0.0273,31878,41057,41244,24422,,23383,27072,19506,24460,25765,02,282
"Juneau City and Borough, Alaska",32330,16517,15813,22182,325,3532,2314,320,415,3242,176,3066,32330,30207,2123,0.3947,0.0343,43276,48695,49803,26148,190719,26290,28816,24190,33029,23436,02,110
"Lake and Peninsula Borough, Alaska",1375,710,665,314,9,926,34,5,2,85,0,85,1375,1356,19,0.4318,0.0462,24571,42177,41721,29316,,18713,15774,,,21856,02,164
"Southeast Fairbanks Census Area, Alaska",6876,3779,3097,5269,47,907,156,2,140,355,10,345,6876,6495,381,0.3858,0.0201,32409,36927,37249,22735,45877,14586,2719,,26591,24517,02,240
"Yukon-Koyukuk Census Area, Alaska",5415,2910,2505,1229,7,3820,33,0,8,318,4,314,5415,5284,131,0.4666,0.0136,22386,37528,38642,14598,,17742,24936,-666666666,12100,20081,02,290
"Anchorage Municipality, Alaska",296112,151144,144968,186522,16439,21876,28445,6890,6813,29127,1864,27263,296112,269265,26847,0.4251,0.0090,39839,48818,50306,28026,27871,24108,24347,22805,28389,22752,02,020
"Aleutians East Borough, Alaska",3425,1989,1436,605,144,1349,878,25,159,265,33,232,3425,3079,346,0.3987,0.0202,32510,52268,51989,33677,31853,26955,30322,13980,28671,27330,02,013
"Skagway Municipality, Alaska",1061,555,506,917,13,55,19,0,5,52,7,45,1061,1006,55,0.3224,0.0209,39842,41761,41976,28387,41254,25958,41232,-666666666,54120,18448,02,230
"Prince of Wales-Hyder Census Area, Alaska",6474,3514,2960,3053,24,2583,76,41,24,673,18,655,6474,6230,244,0.4139,0.0141,27236,35680,35903,21959,31971,20005,14521,13390,21779,18984,02,198
"Petersburg Borough, Alaska",3255,1649,1606,2346,23,237,302,17,6,324,6,318,3255,2918,337,0.4388,0.0227,33227,38494,41372,19758,15148,18722,22736,20212,66217,16835,02,195
"Kusilvak Census Area, Alaska",8198,4388,3810,319,60,7480,32,2,3,302,0,302,8198,8117,81,0.4305,0.0213,12578,78883,83083,24431,25093,9703,34659,,,9113,02,158
"Maricopa County, Arizona",4253913,2104145,2149768,3301814,232690,82699,176740,9405,296569,153996,30773,123223,4253913,2942822,1311091,0.4666,0.0023,31697,34303,40775,17411,23425,18474,36930,23690,16786,18638,04,013
"Graham County, Arizona",37879,20330,17549,29917,752,4808,246,51,996,1109,189,920,37879,25426,12453,0.4049,0.0157,18113,19940,22252,14960,14186,9772,18626,,13539,12097,04,009
"Santa Cruz County, Arizona",46584,22285,24299,39656,248,362,430,0,5376,512,232,280,46584,7685,38899,0.4933,0.0266,20324,20782,39148,16998,11158,30111,16636,-666666666,13300,59234,04,023
"La Paz County, Arizona",20701,10677,10024,15914,170,2924,158,8,932,595,79,516,20701,15087,5614,0.4663,0.0325,21845,22908,25046,17561,28680,15939,20503,,24423,16284,04,012
"Mohave County, Arizona",206064,104047,102017,186510,2262,4862,2512,509,4976,4433,684,3749,206064,172583,33481,0.4451,0.0090,24829,25262,26312,18667,18741,17023,35800,40155,19079,16763,04,015
"Coconino County, Arizona",140217,68918,71299,89502,1869,37388,2908,176,3866,4508,503,4005,140217,120551,19666,0.4654,0.0130,26387,32437,34597,20080,13502,14730,19576,18172,23476,15516,04,005
"Yuma County, Arizona",207829,106973,100856,155842,4498,2677,2734,128,36390,5560,1370,4190,207829,76159,131670,0.4462,0.0103,21178,22434,31960,15514,26607,14554,35062,12180,15271,16808,04,027
"Greenlee County, Arizona",9504,5064,4440,8642,213,436,29,0,163,21,3,18,9504,5090,4414,0.3908,0.0326,25349,25588,30569,20616,15056,26639,,-666666666,25939,8810,04,011
"Pinal County, Arizona",419721,219048,200673,336611,18782,20782,7589,1410,18046,16501,2735,13766,419721,294348,125373,0.4235,0.0100,23653,25499,29230,16000,20698,12175,20380,10302,18291,12327,04,021
"St. Francis County, Arkansas",26294,14441,11853,10743,14624,151,152,0,347,277,89,188,26294,25586,708,0.4729,0.0236,17491,21809,21977,15116,14532,9854,13839,-666666666,21901,6904,05,123
"White County, Arkansas",78804,38751,40053,71645,3206,275,552,21,1053,2052,99,1953,78804,75422,3382,0.4731,0.0186,23747,24718,25089,10844,14411,23680,25967,,7850,12099,05,145
"Nevada County, Arkansas",8440,4425,4015,5348,2927,6,26,1,0,132,0,132,8440,8416,24,0.4140,0.0238,18618,22052,22090,,12788,,,,-666666666,9970,05,099
"Cross County, Arkansas",16998,8200,8798,12695,3308,24,10,0,8,953,8,945,16998,16668,330,0.4752,0.0510,24486,25665,25931,16400,22040,,,-666666666,,17989,05,037
"Drew County, Arkansas",18502,9033,9469,12701,5333,18,43,0,230,177,0,177,18502,17893,609,0.4806,0.0317,23005,24443,24968,9081,19322,,20242,-666666666,8922,47711,05,043
"Columbia County, Arkansas",23892,11444,12448,14476,8351,87,267,0,448,263,61,202,23892,23242,650,0.4974,0.0403,21372,26851,27232,10010,12884,39945,13872,-666666666,9280,11389,05,027
"Saline County, Arkansas",118009,58030,59979,105202,8293,406,1403,62,550,2093,180,1913,118009,112558,5451,0.3983,0.0108,29358,30242,30704,19894,24148,28921,20033,24784,15722,15580,05,125
"Van Buren County, Arkansas",16684,8284,8400,15996,81,120,14,0,34,439,63,376,16684,16176,508,0.4450,0.0187,21622,21667,21895,13698,6093,49696,,-666666666,,14079,05,141
"Izard County, Arkansas",13559,7018,6541,12835,254,195,18,0,45,212,10,202,13559,13257,302,0.4257,0.0500,20501,21076,21289,10702,5313,12869,,-666666666,5102,15328,05,065
"Lincoln County, Arkansas",13695,8590,5105,9104,4292,49,0,0,177,73,2,71,13695,13179,516,0.4452,0.0344,13636,16937,17290,5337,7050,3196,-666666666,-666666666,3872,19811,05,079
"Logan County, Arkansas",21757,10643,11114,19905,293,228,503,0,262,566,190,376,21757,21115,642,0.4486,0.0255,22221,20996,21037,15195,11537,55241,5670,-666666666,11577,77166,05,083
"Crittenden County, Arkansas",49013,23271,25742,21763,23789,155,352,76,90,2788,21,2767,49013,47803,1210,0.4568,0.0165,21882,28868,29384,13827,15677,12314,25142,14155,12997,20920,05,035
"Franklin County, Arkansas",17780,8675,9105,16743,172,273,105,37,59,391,18,373,17780,17235,545,0.4480,0.0237,20262,20701,20992,7429,11938,9384,8277,6243,18431,17565,05,047
"Pike County, Arkansas",10808,5346,5462,9740,355,75,54,0,390,194,22,172,10808,10105,703,0.4352,0.0248,21919,22761,23057,14362,14344,20928,7996,-666666666,15857,9910,05,109
"Jefferson County, Arkansas",70424,34906,35518,28231,39889,213,661,0,814,616,41,575,70424,68992,1432,0.4695,0.0175,20925,27291,27506,13620,16596,10688,27046,-666666666,13829,15825,05,069
"Montgomery County, Arkansas",8993,4440,4553,8205,20,161,122,0,275,210,4,206,8993,8610,383,0.4524,0.0323,22347,23582,23590,11049,6655,17093,8282,-666666666,8436,5998,05,097
"Scott County, Arkansas",10442,5332,5110,9179,28,248,94,0,434,459,5,454,10442,9650,792,0.4325,0.0267,17375,17468,17843,6663,,26843,87710,-666666666,6634,6470,05,127
"Sebastian County, Arkansas",127461,62274,65187,95473,8877,1644,5590,28,10398,5451,873,4578,127461,109601,17860,0.4781,0.0143,25084,28172,29366,11633,14510,20920,24521,,12167,14767,05,131
"Benton County, Arkansas",258980,128399,130581,227609,4359,3710,9862,1440,4495,7505,765,6740,258980,216403,42577,0.4549,0.0092,32624,33117,35972,18434,35063,20135,40647,11598,25034,20469,05,007
"Chicot County, Arkansas",10826,5266,5560,4733,5861,24,43,0,64,101,16,85,10826,10246,580,0.5579,0.0471,21843,25445,27648,7293,18833,,53581,-666666666,7450,25028,05,017
"Johnson County, Arkansas",26291,12976,13315,24033,424,45,490,34,569,696,32,664,26291,22664,3627,0.4427,0.0241,19681,20034,21585,9425,11490,,38405,,10021,8748,05,071
"Lee County, Arkansas",9398,5309,4089,3978,5313,27,13,0,8,59,0,59,9398,9231,167,0.4992,0.0310,15771,21074,21142,16186,11932,3511,,-666666666,,12288,05,077
"Pope County, Arkansas",63644,31317,32327,58030,1895,355,654,0,1136,1574,41,1533,63644,58081,5563,0.4640,0.0181,22110,22529,23421,11945,14506,13999,23633,-666666666,12949,23624,05,115
"Desha County, Arkansas",11887,5623,6264,5855,5596,30,39,0,206,161,23,138,11887,11189,698,0.4642,0.0255,18475,23520,24803,7675,13844,28760,,-666666666,7741,12040,05,041
"Fulton County, Arkansas",12139,6048,6091,11686,71,55,6,5,61,255,0,255,12139,11956,183,0.4311,0.0208,19413,19747,19818,13368,1442,10142,,,14080,13206,05,049
"Garland County, Arkansas",98296,47182,51114,84747,8031,791,523,6,1582,2616,299,2317,98296,92862,5434,0.4881,0.0249,26791,28092,28836,12730,17810,14752,39166,,28055,12699,05,051
"Prairie County, Arkansas",8244,4120,4124,7037,1073,29,29,0,22,54,9,45,8244,8183,61,0.4400,0.0238,24075,25909,25953,14787,13313,,,-666666666,,13039,05,117
"Van Wert County, Ohio",28281,13891,14390,27211,344,58,95,0,166,407,90,317,28281,27368,913,0.4150,0.0213,26698,27189,27495,14181,16508,10226,20099,-666666666,26383,6527,39,161
"Washington County, Ohio",60671,29953,30718,58146,745,329,391,10,213,837,34,803,60671,60017,654,0.4593,0.0194,27860,28495,28570,17900,14533,14580,18148,,14985,9019,39,167
"Williams County, Ohio",36936,18266,18670,35125,383,131,212,6,453,626,196,430,36936,35338,1598,0.4008,0.0183,25428,26018,26277,15518,9035,13975,24143,,19188,9576,39,171
"Auglaize County, Ohio",45784,22705,23079,44271,229,89,197,36,363,599,28,571,45784,45012,772,0.3997,0.0139,29908,30380,30466,18442,20026,24461,28324,47858,14570,8378,39,011
"Columbiana County, Ohio",104003,52418,51585,98739,2292,126,140,3,755,1948,67,1881,104003,102210,1793,0.4472,0.0137,25853,26529,26532,18256,10624,16105,65998,,10356,13247,39,029
"Darke County, Ohio",51734,25557,26177,50415,344,115,236,0,82,542,5,537,51734,50942,792,0.4017,0.0134,26262,26552,26724,13601,15279,28307,12289,-666666666,20102,12823,39,037
"Ottawa County, Ohio",40709,20215,20494,38906,467,90,75,3,555,613,152,461,40709,38663,2046,0.4236,0.0166,33081,33602,34054,22492,17286,11946,58312,,17818,25928,39,123
"Fulton County, Ohio",42305,20940,21365,39432,170,159,170,14,1440,920,326,594,42305,38658,3647,0.3969,0.0184,28411,29227,29862,16398,27798,19630,27106,,19406,9673,39,051
"Hardin County, Ohio",31542,15639,15903,30328,207,3,242,0,152,610,57,553,31542,31025,517,0.3957,0.0137,22329,22713,22832,9374,18101,,17358,-666666666,8532,10086,39,065
"Jackson County, Ohio",32524,15885,16639,31509,202,13,38,29,0,733,79,654,32524,32183,341,0.4133,0.0280,22117,22396,22510,8993,18286,,,,-666666666,12472,39,079
"Lucas County, Ohio",432379,209580,222799,311698,81735,1194,7758,148,9973,19873,3764,16109,432379,402169,30210,0.4880,0.0057,28361,32745,33300,16738,17783,18359,27836,19253,16837,9756,39,095
"Morrow County, Ohio",34976,17461,17515,33697,363,41,22,0,128,725,31,694,34976,34472,504,0.4165,0.0309,27212,27743,27718,18160,1055,,,-666666666,7772,18288,39,117
"Noble County, Ohio",14443,8616,5827,13355,816,11,13,0,74,174,0,174,14443,14340,103,0.4543,0.0613,24616,25778,25819,3046,12403,,,-666666666,3976,4103,39,121
"Preble County, Ohio",41207,20397,20810,40003,239,107,189,0,7,662,9,653,41207,40868,339,0.4024,0.0201,27031,27319,27328,21455,18902,26747,23105,-666666666,,13758,39,135
"Seneca County, Ohio",55475,27649,27826,52041,1544,170,317,0,375,1028,91,937,55475,52681,2794,0.4288,0.0200,25555,26501,26607,21289,9609,21309,17273,-666666666,15716,8502,39,147
